matchday,position,team_name,playedGames
1,1,Real Madrid CF,1
1,2,Sevilla FC,1
1,3,FC Barcelona,1
1,4,Club Atlético de Madrid,1
1,5,Valencia CF,1
1,6,Cádiz CF,1
1,7,Levante UD,1
1,8,RCD Mallorca,1
1,9,Real Betis Balompié,1
1,10,CA Osasuna,1
1,11,RCD Espanyol de Barcelona,1
1,12,Villarreal CF,1
1,13,Granada CF,1
1,14,Elche CF,1
1,15,Athletic Club,1
1,16,RC Celta de Vigo,1
1,17,Getafe CF,1
1,18,Real Sociedad de Fútbol,1
1,19,Deportivo Alavés,1
1,20,Rayo Vallecano de Madrid,1
1,1,Sevilla FC,1
1,2,FC Barcelona,1
1,3,Valencia CF,1
1,4,Cádiz CF,1
1,5,RCD Mallorca,1
1,6,CA Osasuna,1
1,7,Villarreal CF,1
1,8,Elche CF,1
1,19,RC Celta de Vigo,1
1,20,Deportivo Alavés,1
1,1,Real Madrid CF,1
1,2,Club Atlético de Madrid,1
1,3,Levante UD,1
1,4,Real Betis Balompié,1
1,5,RCD Espanyol de Barcelona,1
1,6,Granada CF,1
1,7,Athletic Club,1
1,18,Getafe CF,1
1,19,Real Sociedad de Fútbol,1
1,20,Rayo Vallecano de Madrid,1
2,1,Sevilla FC,2
2,2,Club Atlético de Madrid,2
2,3,Real Madrid CF,2
2,4,FC Barcelona,2
2,5,Valencia CF,2
2,6,RCD Mallorca,2
2,7,Real Sociedad de Fútbol,2
2,8,Levante UD,2
2,9,Cádiz CF,2
2,10,Real Betis Balompié,2
2,11,Granada CF,2
2,12,Athletic Club,2
2,13,CA Osasuna,2
2,14,RCD Espanyol de Barcelona,2
2,15,Villarreal CF,2
2,16,RC Celta de Vigo,2
2,17,Elche CF,2
2,18,Getafe CF,2
2,19,Deportivo Alavés,2
2,20,Rayo Vallecano de Madrid,2
2,6,CA Osasuna,2
2,20,Deportivo Alavés,2
2,1,Real Madrid CF,2
2,20,Rayo Vallecano de Madrid,2
3,1,Real Madrid CF,3
3,2,Valencia CF,3
3,3,Sevilla FC,3
3,4,FC Barcelona,3
3,5,Club Atlético de Madrid,3
3,6,RCD Mallorca,3
3,7,Real Sociedad de Fútbol,3
