matchday,position,team_name,playedGames
1,1,FC Internazionale Milano,1
1,2,Genoa CFC,1
1,3,Atalanta BC,1
1,4,Juventus FC,1
1,5,SSC Napoli,1
1,6,AC Milan,1
1,7,Spezia Calcio,1
1,8,ACF Fiorentina,1
1,9,US Sassuolo Calcio,1
1,10,Cagliari Calcio,1
1,13,Torino FC,1
1,14,Parma Calcio 1913,1
1,15,Bologna FC 1909,1
1,16,Udinese Calcio,1
1,17,Benevento Calcio,1
1,18,FC Crotone,1
1,19,SS Lazio,1
1,20,UC Sampdoria,1
1,1,Genoa CFC,1
1,2,Juventus FC,1
1,3,AC Milan,1
1,4,ACF Fiorentina,1
1,5,US Sassuolo Calcio,1
1,17,Parma Calcio 1913,1
1,18,Udinese Calcio,1
1,19,Benevento Calcio,1
1,20,SS Lazio,1
1,1,FC Internazionale Milano,1
1,2,Atalanta BC,1
1,3,SSC Napoli,1
1,4,Spezia Calcio,1
1,5,Cagliari Calcio,1
1,17,Torino FC,1
1,18,Bologna FC 1909,1
1,19,FC Crotone,1
1,20,UC Sampdoria,1
2,1,SSC Napoli,2
2,2,Atalanta BC,2
2,3,FC Internazionale Milano,2
2,4,AC Milan,2
2,5,US Sassuolo Calcio,2
2,6,Juventus FC,2
2,7,Bologna FC 1909,2
2,9,ACF Fiorentina,2
2,10,SS Lazio,2
2,11,Spezia Calcio,2
2,12,Benevento Calcio,2
2,13,Genoa CFC,2
2,15,Cagliari Calcio,2
2,16,Torino FC,2
2,17,Udinese Calcio,2
2,18,UC Sampdoria,2
2,19,Parma Calcio 1913,2
2,20,FC Crotone,2
2,1,Atalanta BC,2
3,1,Atalanta BC,3
3,2,AC Milan,3
3,3,US Sassuolo Calcio,3
3,4,FC Internazionale Milano,3
3,5,Juventus FC,3
3,6,SSC Napoli,3
3,7,Benevento Calcio,3
3,9,SS Lazio,3
3,10,Bologna FC 1909,3
3,12,ACF Fiorentina,3
3,13,Torino FC,3
3,14,UC Sampdoria,3
3,15,Genoa CFC,3
3,16,Spezia Calcio,3
3,17,Parma Calcio 1913,3
3,18,Cagliari Calcio,3
3,19,Udinese Calcio,3
3,20,FC Crotone,3
4,1,AC Milan,4
4,2,US Sassuolo Calcio,4
4,3,SSC Napoli,4
4,4,Atalanta BC,4
4,5,Juventus FC,4
4,7,FC Internazionale Milano,4
4,8,UC Sampdoria,4
4,9,Benevento Calcio,4
4,11,ACF Fiorentina,4
4,12,Cagliari Calcio,4
4,13,Genoa CFC,4
4,14,Spezia Calcio,4
4,15,SS Lazio,4
4,16,Bologna FC 1909,4
4,17,Torino FC,4
4,18,Udinese Calcio,4
4,19,Parma Calcio 1913,4
4,20,FC Crotone,4
5,1,AC Milan,5
5,2,SSC Napoli,5
5,3,US Sassuolo Calcio,5
5,4,FC Internazionale Milano,5
5,5,Juventus FC,5
5,6,Atalanta BC,5
5,7,UC Sampdoria,5
5,9,ACF Fiorentina,5
5,10,Cagliari Calcio,5
5,11,SS Lazio,5
5,12,Benevento Calcio,5
5,14,Spezia Calcio,5
5,15,Torino FC,5
5,16,Parma Calcio 1913,5
5,17,Genoa CFC,5
5,18,Bologna FC 1909,5
5,19,Udinese Calcio,5
5,20,FC Crotone,5
6,1,AC Milan,6
6,2,US Sassuolo Calcio,6
6,3,SSC Napoli,6
6,4,Juventus FC,6
6,5,Atalanta BC,6
6,7,FC Internazionale Milano,6
6,8,UC Sampdoria,6
6,9,SS Lazio,6
6,11,ACF Fiorentina,6
6,12,Cagliari Calcio,6
6,13,Bologna FC 1909,6
6,14,Benevento Calcio,6
6,15,Parma Calcio 1913,6
6,16,Genoa CFC,6
6,17,Spezia Calcio,6
6,18,Torino FC,6
6,19,Udinese Calcio,6
6,20,FC Crotone,6
7,1,AC Milan,7
7,2,SSC Napoli,7
7,3,US Sassuolo Calcio,7
7,5,Juventus FC,7
7,6,Atalanta BC,7
7,7,FC Internazionale Milano,7
7,8,SS Lazio,7
7,9,UC Sampdoria,7
7,10,Cagliari Calcio,7
7,12,ACF Fiorentina,7
7,13,Spezia Calcio,7
7,14,Bologna FC 1909,7
7,15,Parma Calcio 1913,7
7,16,Benevento Calcio,7
7,17,Torino FC,7
7,18,Genoa CFC,7
7,19,Udinese Calcio,7
7,20,FC Crotone,7
8,1,AC Milan,8
8,2,US Sassuolo Calcio,8
8,4,Juventus FC,8
8,5,SSC Napoli,8
8,6,FC Internazionale Milano,8
8,7,Atalanta BC,8
8,8,SS Lazio,8
8,9,UC Sampdoria,8
8,10,Cagliari Calcio,8
8,12,Bologna FC 1909,8
8,13,Spezia Calcio,8
8,14,Benevento Calcio,8
8,15,ACF Fiorentina,8
8,16,Udinese Calcio,8
8,17,Parma Calcio 1913,8
8,18,Torino FC,8
8,19,Genoa CFC,8
8,20,FC Crotone,8
9,1,AC Milan,9
9,2,SSC Napoli,9
9,3,FC Internazionale Milano,9
9,4,US Sassuolo Calcio,9
9,5,Juventus FC,9
9,7,Atalanta BC,9
9,8,SS Lazio,9
9,10,Bologna FC 1909,9
9,11,UC Sampdoria,9
9,12,Cagliari Calcio,9
9,13,Udinese Calcio,9
9,14,Spezia Calcio,9
9,15,Benevento Calcio,9
9,16,Parma Calcio 1913,9
9,17,ACF Fiorentina,9
9,18,Torino FC,9
9,19,Genoa CFC,9
9,20,FC Crotone,9
10,1,AC Milan,10
10,2,SSC Napoli,10
10,3,FC Internazionale Milano,10
10,4,Juventus FC,10
10,5,US Sassuolo Calcio,10
10,7,SS Lazio,10
10,8,Atalanta BC,10
10,10,Bologna FC 1909,10
10,11,Cagliari Calcio,10
10,12,UC Sampdoria,10
10,13,Udinese Calcio,10
10,14,Benevento Calcio,10
10,15,Spezia Calcio,10
10,16,Parma Calcio 1913,10
10,17,ACF Fiorentina,10
10,18,Torino FC,10
10,19,Genoa CFC,10
10,20,FC Crotone,10
11,1,AC Milan,11
11,2,SSC Napoli,11
11,3,FC Internazionale Milano,11
11,4,Juventus FC,11
11,5,US Sassuolo Calcio,11
11,7,Atalanta BC,11
11,8,SS Lazio,11
11,10,Udinese Calcio,11
11,11,Cagliari Calcio,11
11,12,Bologna FC 1909,11
11,13,UC Sampdoria,11
11,14,Parma Calcio 1913,11
11,15,Benevento Calcio,11
11,16,Spezia Calcio,11
11,17,ACF Fiorentina,11
11,18,Torino FC,11
11,19,Genoa CFC,11
11,20,FC Crotone,11
12,1,AC Milan,12
12,2,FC Internazionale Milano,12
12,3,SSC Napoli,12
12,5,Juventus FC,12
12,6,US Sassuolo Calcio,12
12,7,Atalanta BC,12
12,8,SS Lazio,12
12,10,Udinese Calcio,12
12,11,UC Sampdoria,12
12,12,Cagliari Calcio,12
12,13,Bologna FC 1909,12
12,14,Parma Calcio 1913,12
12,15,Benevento Calcio,12
12,16,Spezia Calcio,12
12,17,ACF Fiorentina,12
12,18,Genoa CFC,12
12,19,Torino FC,12
12,20,FC Crotone,12
13,1,AC Milan,13
13,2,FC Internazionale Milano,13
13,3,Juventus FC,13
13,4,SSC Napoli,13
13,6,US Sassuolo Calcio,13
13,7,Atalanta BC,13
13,8,SS Lazio,13
13,10,UC Sampdoria,13
13,11,Udinese Calcio,13
13,12,Benevento Calcio,13
13,13,Cagliari Calcio,13
13,14,Bologna FC 1909,13
13,15,Parma Calcio 1913,13
13,16,ACF Fiorentina,13
13,17,Spezia Calcio,13
13,18,Torino FC,13
13,19,Genoa CFC,13
13,20,FC Crotone,13
14,1,AC Milan,14
14,2,FC Internazionale Milano,14
14,3,Juventus FC,14
14,5,US Sassuolo Calcio,14
14,6,SSC Napoli,14
14,7,Atalanta BC,14
14,8,SS Lazio,14
14,9,Benevento Calcio,14
14,11,UC Sampdoria,14
14,12,Udinese Calcio,14
14,13,Bologna FC 1909,14
14,14,ACF Fiorentina,14
14,15,Cagliari Calcio,14
14,16,Parma Calcio 1913,14
14,17,Spezia Calcio,14
14,18,Genoa CFC,14
