matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,VfB Stuttgart,1,3,5,0,5
1,2,FC Bayern München,1,3,4,0,4
1,3,1. FC Union Berlin,1,3,4,1,3
1,4,VfL Wolfsburg,1,3,2,0,2
1,5,Bayer 04 Leverkusen,1,3,3,2,1
1,6,SC Freiburg,1,3,2,1,1
1,7,Borussia Dortmund,1,3,1,0,1
1,8,Eintracht Frankfurt,1,3,1,0,1
1,9,FC Augsburg,1,1,4,4,0
1,10,Borussia Mönchengladbach,1,1,4,4,0
1,11,RB Leipzig,1,0,2,3,-1
1,12,TSG 1899 Hoffenheim,1,0,1,2,-1
1,13,1. FC Köln,1,0,0,1,-1
1,14,SV Darmstadt 98,1,0,0,1,-1
1,15,1. FC Heidenheim 1846,1,0,0,2,-2
1,16,1. FSV Mainz 05,1,0,1,4,-3
1,17,SV Werder Bremen,1,0,0,4,-4
1,18,VfL Bochum 1848,1,0,0,5,-5
1,1,VfB Stuttgart,1,3,5,0,5
1,2,1. FC Union Berlin,1,3,4,1,3
1,3,VfL Wolfsburg,1,3,2,0,2
1,4,Bayer 04 Leverkusen,1,3,3,2,1
1,5,Borussia Dortmund,1,3,1,0,1
1,6,Eintracht Frankfurt,1,3,1,0,1
1,7,FC Augsburg,1,1,4,4,0
1,17,TSG 1899 Hoffenheim,1,0,1,2,-1
1,18,SV Werder Bremen,1,0,0,4,-4
1,1,FC Bayern München,1,3,4,0,4
1,2,SC Freiburg,1,3,2,1,1
1,3,Borussia Mönchengladbach,1,1,4,4,0
1,13,RB Leipzig,1,0,2,3,-1
1,14,1. FC Köln,1,0,0,1,-1
1,15,SV Darmstadt 98,1,0,0,1,-1
1,16,1. FC Heidenheim 1846,1,0,0,2,-2
1,17,1. FSV Mainz 05,1,0,1,4,-3
1,18,VfL Bochum 1848,1,0,0,5,-5
2,1,1. FC Union Berlin,2,6,8,2,6
2,2,FC Bayern München,2,6,7,1,6
2,3,Bayer 04 Leverkusen,2,6,6,2,4
2,4,VfL Wolfsburg,2,6,4,1,3
2,5,SC Freiburg,2,6,3,1,2
2,6,Borussia Dortmund,2,4,2,1,1
2,7,Eintracht Frankfurt,2,4,2,1,1
2,8,RB Leipzig,2,3,7,4,3
2,9,VfB Stuttgart,2,3,6,5,1
2,10,TSG 1899 Hoffenheim,2,3,4,4,0
2,11,FC Augsburg,2,1,5,7,-2
2,12,Borussia Mönchengladbach,2,1,4,7,-3
2,13,1. FSV Mainz 05,2,1,2,5,-3
2,14,VfL Bochum 1848,2,1,1,6,-5
2,15,1. FC Köln,2,0,1,3,-2
2,16,1. FC Heidenheim 1846,2,0,2,5,-3
2,17,SV Darmstadt 98,2,0,1,5,-4
2,18,SV Werder Bremen,2,0,0,5,-5
3,1,Bayer 04 Leverkusen,3,9,11,3,8
3,2,FC Bayern München,3,9,9,2,7
3,3,VfB Stuttgart,3,6,11,5,6
3,4,RB Leipzig,3,6,10,4,6
3,5,1. FC Union Berlin,3,6,8,5,3
3,6,TSG 1899 Hoffenheim,3,6,7,5,2
3,7,VfL Wolfsburg,3,6,5,4,1
3,8,SC Freiburg,3,6,3,6,-3
3,9,Borussia Dortmund,3,5,4,3,1
3,10,Eintracht Frankfurt,3,5,3,2,1
3,11,SV Werder Bremen,3,3,4,5,-1
