matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,Paris Saint-Germain FC,1,3,5,0,5
1,2,Lille OSC,1,3,4,1,3
1,3,Olympique de Marseille,1,3,4,1,3
1,4,Racing Club de Lens,1,3,3,2,1
1,5,Montpellier HSC,1,3,3,2,1
1,6,Olympique Lyonnais,1,3,2,1,1
1,7,AS Monaco FC,1,3,2,1,1
1,8,FC Lorient,1,3,1,0,1
1,9,Toulouse FC,1,1,1,1,0
1,10,OGC Nice,1,1,1,1,0
1,11,Angers SCO,1,1,0,0,0
1,12,FC Nantes,1,1,0,0,0
1,13,Stade Brestois 29,1,0,2,3,-1
1,14,ES Troyes AC,1,0,2,3,-1
1,15,AC Ajaccio,1,0,1,2,-1
1,16,RC Strasbourg Alsace,1,0,1,2,-1
1,17,Stade Rennais FC 1901,1,0,0,1,-1
1,18,AJ Auxerre,1,0,1,4,-3
1,19,Stade de Reims,1,0,1,4,-3
1,20,Clermont Foot 63,1,0,0,5,-5
1,1,Lille OSC,1,3,4,1,3
1,2,Olympique de Marseille,1,3,4,1,3
1,3,Racing Club de Lens,1,3,3,2,1
1,4,Montpellier HSC,1,3,3,2,1
1,5,Olympique Lyonnais,1,3,2,1,1
1,6,Toulouse FC,1,1,1,1,0
1,7,Angers SCO,1,1,0,0,0
1,18,RC Strasbourg Alsace,1,0,1,2,-1
1,19,Stade Rennais FC 1901,1,0,0,1,-1
1,20,Clermont Foot 63,1,0,0,5,-5
1,1,Paris Saint-Germain FC,1,3,5,0,5
1,2,AS Monaco FC,1,3,2,1,1
1,3,FC Lorient,1,3,1,0,1
1,4,OGC Nice,1,1,1,1,0
1,5,FC Nantes,1,1,0,0,0
1,16,Stade Brestois 29,1,0,2,3,-1
1,17,ES Troyes AC,1,0,2,3,-1
1,18,AC Ajaccio,1,0,1,2,-1
1,19,AJ Auxerre,1,0,1,4,-3
1,20,Stade de Reims,1,0,1,4,-3
2,1,Paris Saint-Germain FC,2,6,10,2,8
2,2,FC Lorient,2,6,4,1,3
2,3,Lille OSC,2,4,5,2,3
2,4,Olympique de Marseille,2,4,5,2,3
2,5,Toulouse FC,2,4,4,1,3
2,6,AS Monaco FC,2,4,3,2,1
2,7,Racing Club de Lens,2,4,3,2,1
2,8,Olympique Lyonnais,2,3,3,4,-1
2,9,Montpellier HSC,2,3,5,7,-2
2,10,Clermont Foot 63,2,3,4,7,-3
2,11,OGC Nice,2,2,2,2,0
2,12,Angers SCO,2,2,2,2,0
2,13,FC Nantes,2,2,1,1,0
2,14,Stade Brestois 29,2,1,3,4,-1
2,15,RC Strasbourg Alsace,2,1,2,3,-1
2,16,AC Ajaccio,2,1,1,2,-1
2,17,Stade Rennais FC 1901,2,1,1,2,-1
2,18,AJ Auxerre,2,1,3,6,-3
2,19,ES Troyes AC,2,0,2,6,-4
2,20,Stade de Reims,2,0,3,8,-5
3,1,Paris Saint-Germain FC,3,9,17,3,14
3,2,Racing Club de Lens,3,7,7,3,4
3,3,Olympique de Marseille,3,7,7,3,4
3,4,FC Lorient,3,7,6,3,3
3,5,Olympique Lyonnais,3,6,7,5,2
3,6,Clermont Foot 63,3,6,5,7,-2
3,7,Toulouse FC,3,5,6,3,3
3,8,Stade Brestois 29,3,4,6,5,1
3,9,Stade Rennais FC 1901,3,4,3,3,0
3,10,AJ Auxerre,3,4,5,7,-2
3,11,AS Monaco FC,3,4,4,6,-2
3,12,Lille OSC,3,4,6,9,-3
3,13,Montpellier HSC,3,3,6,9,-3
3,14,RC Strasbourg Alsace,3,2,3,4,-1
3,15,OGC Nice,3,2,2,3,-1
3,16,FC Nantes,3,2,2,3,-1
3,17,Angers SCO,3,2,3,5,-2
3,18,AC Ajaccio,3,1,2,4,-2
3,19,Stade de Reims,3,1,4,9,-5
3,20,ES Troyes AC,3,0,3,10,-7
4,1,Paris Saint-Germain FC,4,10,18,4,14
4,2,Olympique de Marseille,4,10,10,3,7
4,3,Racing Club de Lens,4,10,9,4,5
4,4,FC Lorient,4,10,8,4,4
4,5,Olympique Lyonnais,4,7,8,6,2
4,6,Lille OSC,4,7,9,10,-1
4,7,AJ Auxerre,4,7,6,7,-1
4,8,Montpellier HSC,4,6,13,9,4
4,9,Clermont Foot 63,4,6,6,9,-3
4,10,Toulouse FC,4,5,7,6,1
4,11,FC Nantes,4,5,5,4,1
4,12,AS Monaco FC,4,5,5,7,-2
4,13,Stade Rennais FC 1901,4,4,4,5,-1
4,14,Stade Brestois 29,4,4,6,12,-6
4,15,ES Troyes AC,4,3,6,11,-5
4,16,RC Strasbourg Alsace,4,2,3,5,-2
