matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,Villarreal CF,1,3,3,0,3
1,2,Club Atlético de Madrid,1,3,3,0,3
1,3,Real Betis Balompié,1,3,3,0,3
1,4,CA Osasuna,1,3,2,1,1
1,5,Real Madrid CF,1,3,2,1,1
1,6,Real Sociedad de Fútbol,1,3,1,0,1
1,7,Valencia CF,1,3,1,0,1
1,8,RC Celta de Vigo,1,1,2,2,0
1,9,RCD Espanyol de Barcelona,1,1,2,2,0
1,10,FC Barcelona,1,1,0,0,0
1,11,Rayo Vallecano de Madrid,1,1,0,0,0
1,12,Athletic Club,1,1,0,0,0
1,13,RCD Mallorca,1,1,0,0,0
1,14,Sevilla FC,1,0,1,2,-1
1,15,UD Almería,1,0,1,2,-1
1,16,Cádiz CF,1,0,0,1,-1
1,17,Girona FC,1,0,0,1,-1
1,18,Real Valladolid CF,1,0,0,3,-3
1,19,Getafe CF,1,0,0,3,-3
1,20,Elche CF,1,0,0,3,-3
1,1,Real Betis Balompié,1,3,3,0,3
1,2,CA Osasuna,1,3,2,1,1
1,3,Valencia CF,1,3,1,0,1
1,4,RC Celta de Vigo,1,1,2,2,0
1,5,FC Barcelona,1,1,0,0,0
1,6,Athletic Club,1,1,0,0,0
1,17,UD Almería,1,0,1,2,-1
1,18,Cádiz CF,1,0,0,1,-1
1,19,Real Valladolid CF,1,0,0,3,-3
1,20,Getafe CF,1,0,0,3,-3
1,1,Villarreal CF,1,3,3,0,3
1,2,Club Atlético de Madrid,1,3,3,0,3
1,3,Real Madrid CF,1,3,2,1,1
1,4,Real Sociedad de Fútbol,1,3,1,0,1
1,5,RCD Espanyol de Barcelona,1,1,2,2,0
1,6,Rayo Vallecano de Madrid,1,1,0,0,0
1,7,RCD Mallorca,1,1,0,0,0
1,18,Sevilla FC,1,0,1,2,-1
1,19,Girona FC,1,0,0,1,-1
1,20,Elche CF,1,0,0,3,-3
2,1,Villarreal CF,2,6,5,0,5
2,2,Real Madrid CF,2,6,6,2,4
2,3,Real Betis Balompié,2,6,5,1,4
2,4,CA Osasuna,2,6,4,1,3
2,5,FC Barcelona,2,4,4,1,3
2,6,Rayo Vallecano de Madrid,2,4,2,0,2
2,7,Athletic Club,2,4,1,0,1
2,8,Girona FC,2,3,3,2,1
2,9,Club Atlético de Madrid,2,3,3,2,1
2,10,Valencia CF,2,3,1,1,0
2,11,Real Sociedad de Fútbol,2,3,2,4,-2
2,12,Sevilla FC,2,1,2,3,-1
2,13,UD Almería,2,1,2,3,-1
2,14,RCD Mallorca,2,1,1,2,-1
2,15,RCD Espanyol de Barcelona,2,1,2,4,-2
2,16,RC Celta de Vigo,2,1,3,6,-3
2,17,Real Valladolid CF,2,1,1,4,-3
2,18,Elche CF,2,1,1,4,-3
2,19,Cádiz CF,2,0,0,3,-3
2,20,Getafe CF,2,0,1,6,-5
2,1,CA Osasuna,2,6,4,1,3
2,2,Athletic Club,2,4,1,0,1
2,9,RC Celta de Vigo,2,1,3,6,-3
2,1,Villarreal CF,2,6,5,0,5
2,2,Real Madrid CF,2,6,6,2,4
2,3,Rayo Vallecano de Madrid,2,4,2,0,2
3,1,Real Madrid CF,3,9,9,3,6
3,2,Real Betis Balompié,3,9,6,1,5
3,3,FC Barcelona,3,7,8,1,7
3,4,Villarreal CF,3,7,5,0,5
3,5,Athletic Club,3,7,5,0,5
3,6,CA Osasuna,3,6,4,2,2
3,7,Club Atlético de Madrid,3,6,4,2,2
3,8,Real Sociedad de Fútbol,3,6,3,4,-1
3,9,RCD Mallorca,3,4,3,2,1
3,10,UD Almería,3,4,4,4,0
3,11,Rayo Vallecano de Madrid,3,4,2,2,0
3,12,RC Celta de Vigo,3,4,4,6,-2
3,13,Girona FC,3,3,3,3,0
3,14,Valencia CF,3,3,1,2,-1
3,15,Sevilla FC,3,1,3,5,-2
3,16,RCD Espanyol de Barcelona,3,1,3,7,-4
3,17,Elche CF,3,1,1,5,-4
3,18,Getafe CF,3,1,1,6,-5
3,19,Real Valladolid CF,3,1,1,8,-7
3,20,Cádiz CF,3,0,0,7,-7
3,1,Real Madrid CF,3,9,9,3,6
3,2,Villarreal CF,3,7,5,0,5
4,1,Real Madrid CF,4,12,11,4,7
4,2,FC Barcelona,4,10,11,1,10
4,3,Villarreal CF,4,10,9,0,9
4,4,Real Betis Balompié,4,9,7,3,4
4,5,CA Osasuna,4,9,6,3,3
4,6,Athletic Club,4,7,5,1,4
4,7,Club Atlético de Madrid,4,7,5,3,2
4,8,RC Celta de Vigo,4,7,7,6,1
4,9,Real Sociedad de Fútbol,4,7,4,5,-1
4,10,Valencia CF,4,6,6,3,3
4,11,RCD Mallorca,4,5,4,3,1
4,12,Girona FC,4,4,4,4,0
4,13,UD Almería,4,4,4,5,-1
4,14,Rayo Vallecano de Madrid,4,4,3,4,-1
4,15,RCD Espanyol de Barcelona,4,4,4,7,-3
4,16,Real Valladolid CF,4,4,2,8,-6
4,17,Sevilla FC,4,1,3,8,-5
4,18,Elche CF,4,1,1,9,-8
4,19,Getafe CF,4,1,2,11,-9
4,20,Cádiz CF,4,0,0,10,-10
5,1,Real Madrid CF,5,15,15,5,10
5,2,FC Barcelona,5,13,15,1,14
5,3,Real Betis Balompié,5,12,8,3,5
5,4,CA Osasuna,5,12,7,3,4
5,5,Villarreal CF,5,10,9,1,8
5,6,Athletic Club,5,10,9,2,7
5,7,Club Atlético de Madrid,5,10,9,4,5
5,8,Girona FC,5,7,6,5,1
5,9,Rayo Vallecano de Madrid,5,7,5,5,0
5,10,RC Celta de Vigo,5,7,8,10,-2
5,11,Real Sociedad de Fútbol,5,7,5,7,-2
5,12,Valencia CF,5,6,7,5,2
5,13,RCD Mallorca,5,5,5,7,-2
5,14,UD Almería,5,4,4,6,-2
5,15,Sevilla FC,5,4,6,10,-4
5,16,RCD Espanyol de Barcelona,5,4,6,10,-4
5,17,Real Valladolid CF,5,4,3,10,-7
5,18,Getafe CF,5,4,4,12,-8
5,19,Elche CF,5,1,2,13,-11
5,20,Cádiz CF,5,0,0,14,-14
6,1,Real Madrid CF,6,18,17,6,11
6,2,FC Barcelona,6,16,18,1,17
6,3,Real Betis Balompié,6,15,10,4,6
6,4,Athletic Club,6,13,12,4,8
6,5,CA Osasuna,6,12,7,5,2
6,6,Villarreal CF,6,11,10,2,8
6,7,Club Atlético de Madrid,6,10,10,6,4
6,8,Real Sociedad de Fútbol,6,10,7,8,-1
6,9,Valencia CF,6,9,10,5,5
6,10,RCD Mallorca,6,8,6,7,-1
6,11,Girona FC,6,7,7,7,0
6,12,Rayo Vallecano de Madrid,6,7,7,8,-1
6,13,RC Celta de Vigo,6,7,8,13,-5
6,14,Getafe CF,6,7,6,12,-6
6,15,Sevilla FC,6,5,7,11,-4
6,16,UD Almería,6,4,4,7,-3
6,17,RCD Espanyol de Barcelona,6,4,7,12,-5
6,18,Real Valladolid CF,6,4,3,11,-8
6,19,Cádiz CF,6,3,1,14,-13
6,20,Elche CF,6,1,2,16,-14
7,1,FC Barcelona,7,19,19,1,18
7,2,Real Madrid CF,7,19,18,7,11
7,3,Athletic Club,7,16,16,4,12
7,4,Real Betis Balompié,7,15,10,5,5
7,5,Club Atlético de Madrid,7,13,12,6,6
7,6,CA Osasuna,7,13,8,6,2
7,7,Real Sociedad de Fútbol,7,13,12,11,1
7,8,Villarreal CF,7,12,10,2,8
7,9,Valencia CF,7,10,12,7,5
7,10,Rayo Vallecano de Madrid,7,10,9,9,0
7,11,RC Celta de Vigo,7,10,9,13,-4
7,12,RCD Mallorca,7,8,6,8,-2
7,13,Girona FC,7,7,10,12,-2
7,14,Getafe CF,7,7,8,15,-7
7,15,Real Valladolid CF,7,7,6,13,-7
7,16,RCD Espanyol de Barcelona,7,5,9,14,-5
7,17,Sevilla FC,7,5,7,13,-6
7,18,UD Almería,7,4,4,11,-7
7,19,Cádiz CF,7,4,1,14,-13
7,20,Elche CF,7,1,3,18,-15
8,1,FC Barcelona,8,22,20,1,19
8,2,Real Madrid CF,8,22,19,7,12
8,3,Athletic Club,8,17,17,5,12
8,4,Club Atlético de Madrid,8,16,14,7,7
8,5,Real Betis Balompié,8,16,10,5,5
8,6,Real Sociedad de Fútbol,8,16,13,11,2
8,7,Valencia CF,8,13,14,8,6
8,8,CA Osasuna,8,13,9,8,1
8,9,Villarreal CF,8,12,10,3,7
8,10,Rayo Vallecano de Madrid,8,10,10,12,-2
8,11,RC Celta de Vigo,8,10,9,14,-5
8,12,RCD Mallorca,8,9,7,9,-2
8,13,Real Valladolid CF,8,8,6,13,-7
8,14,Girona FC,8,7,11,14,-3
8,15,UD Almería,8,7,7,12,-5
8,16,Getafe CF,8,7,8,16,-8
8,17,RCD Espanyol de Barcelona,8,6,11,16,-5
8,18,Sevilla FC,8,6,8,14,-6
8,19,Cádiz CF,8,5,3,16,-13
8,20,Elche CF,8,2,4,19,-15
9,1,Real Madrid CF,9,25,22,8,14
9,2,FC Barcelona,9,22,21,4,17
9,3,Club Atlético de Madrid,9,19,15,7,8
9,4,Real Betis Balompié,9,19,13,6,7
9,5,Real Sociedad de Fútbol,9,19,15,12,3
9,6,Athletic Club,9,17,17,6,11
9,7,Villarreal CF,9,15,12,3,9
9,8,Valencia CF,9,14,16,10,6
9,9,CA Osasuna,9,13,9,10,-1
9,10,Rayo Vallecano de Madrid,9,11,10,12,-2
9,11,RC Celta de Vigo,9,10,10,16,-6
9,12,RCD Mallorca,9,9,7,10,-3
9,13,RCD Espanyol de Barcelona,9,9,12,16,-4
9,14,Sevilla FC,9,9,9,14,-5
9,15,Girona FC,9,8,12,15,-3
9,16,Getafe CF,9,8,8,16,-8
9,17,Real Valladolid CF,9,8,6,14,-8
9,18,UD Almería,9,7,8,15,-7
9,19,Cádiz CF,9,6,4,17,-13
9,20,Elche CF,9,3,6,21,-15
10,1,Real Madrid CF,10,28,25,8,17
10,2,FC Barcelona,10,25,24,4,20
10,3,Real Sociedad de Fútbol,10,22,16,12,4
10,4,Club Atlético de Madrid,10,20,16,8,8
10,5,Real Betis Balompié,10,20,13,6,7
10,6,Athletic Club,10,18,19,8,11
10,7,CA Osasuna,10,16,10,10,0
10,8,Valencia CF,10,15,17,11,6
