matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
1,1,FC Internazionale Milano,1,3,4,0,4
1,2,SS Lazio,1,3,3,1,2
1,3,AS Roma,1,3,3,1,2
1,4,SSC Napoli,1,3,2,0,2
1,5,US Sassuolo Calcio,1,3,3,2,1
1,6,Bologna FC 1909,1,3,3,2,1
1,7,Atalanta BC,1,3,2,1,1
1,8,AC Milan,1,3,1,0,1
1,9,Udinese Calcio,1,1,2,2,0
1,10,Juventus FC,1,1,2,2,0
1,11,Cagliari Calcio,1,1,2,2,0
1,12,Spezia Calcio,1,1,2,2,0
1,13,Hellas Verona FC,1,0,2,3,-1
1,14,US Salernitana 1919,1,0,2,3,-1
1,15,Torino FC,1,0,1,2,-1
1,16,UC Sampdoria,1,0,0,1,-1
1,17,Empoli FC,1,0,1,3,-2
1,18,ACF Fiorentina,1,0,1,3,-2
1,19,Venezia FC,1,0,0,2,-2
1,20,Genoa CFC,1,0,0,4,-4
1,1,FC Internazionale Milano,1,3,4,0,4
1,2,AS Roma,1,3,3,1,2
1,3,SSC Napoli,1,3,2,0,2
1,4,Bologna FC 1909,1,3,3,2,1
1,5,Udinese Calcio,1,1,2,2,0
1,6,Cagliari Calcio,1,1,2,2,0
1,17,Hellas Verona FC,1,0,2,3,-1
1,18,Torino FC,1,0,1,2,-1
1,19,UC Sampdoria,1,0,0,1,-1
1,20,Empoli FC,1,0,1,3,-2
1,1,SS Lazio,1,3,3,1,2
1,2,US Sassuolo Calcio,1,3,3,2,1
1,3,Atalanta BC,1,3,2,1,1
1,4,AC Milan,1,3,1,0,1
1,5,Juventus FC,1,1,2,2,0
1,6,Spezia Calcio,1,1,2,2,0
1,17,US Salernitana 1919,1,0,2,3,-1
1,18,ACF Fiorentina,1,0,1,3,-2
1,19,Venezia FC,1,0,0,2,-2
1,20,Genoa CFC,1,0,0,4,-4
2,1,SS Lazio,2,6,9,2,7
2,2,FC Internazionale Milano,2,6,7,1,6
2,3,AS Roma,2,6,7,1,6
2,4,AC Milan,2,6,5,1,4
2,5,SSC Napoli,2,6,4,1,3
2,6,Udinese Calcio,2,4,5,2,3
2,7,US Sassuolo Calcio,2,4,3,2,1
2,8,Bologna FC 1909,2,4,3,2,1
2,9,Atalanta BC,2,4,2,1,1
2,10,ACF Fiorentina,2,3,3,4,-1
2,11,Empoli FC,2,3,2,3,-1
2,12,Juventus FC,2,1,2,3,-1
2,13,UC Sampdoria,2,1,0,1,-1
2,14,Cagliari Calcio,2,1,3,6,-3
2,15,Spezia Calcio,2,1,3,8,-5
2,16,Torino FC,2,0,2,4,-2
2,17,Hellas Verona FC,2,0,3,6,-3
2,18,US Salernitana 1919,2,0,2,7,-5
