matchday,position,team_name,playedGames
1,1,SSC Napoli,1
1,2,Juventus FC,1
1,3,AC Milan,1
1,4,Atalanta BC,1
1,5,ACF Fiorentina,1
1,6,FC Internazionale Milano,1
1,7,Torino FC,1
1,8,SS Lazio,1
1,9,AS Roma,1
1,10,Spezia Calcio,1
1,11,US Cremonese,1
1,12,US Lecce,1
1,13,AC Monza,1
1,14,Bologna FC 1909,1
1,15,US Salernitana 1919,1
1,16,Empoli FC,1
1,17,Udinese Calcio,1
1,18,UC Sampdoria,1
1,19,Hellas Verona FC,1
1,20,US Sassuolo Calcio,1
1,1,Juventus FC,1
1,2,AC Milan,1
1,3,ACF Fiorentina,1
1,4,SS Lazio,1
1,5,Spezia Calcio,1
1,16,US Lecce,1
1,17,AC Monza,1
1,18,US Salernitana 1919,1
1,19,UC Sampdoria,1
1,20,Hellas Verona FC,1
1,1,SSC Napoli,1
1,2,Atalanta BC,1
1,3,FC Internazionale Milano,1
1,4,Torino FC,1
1,5,AS Roma,1
1,16,US Cremonese,1
1,17,Bologna FC 1909,1
1,18,Empoli FC,1
1,19,Udinese Calcio,1
1,20,US Sassuolo Calcio,1
2,1,SSC Napoli,2
2,2,FC Internazionale Milano,2
2,3,AS Roma,2
2,4,Juventus FC,2
2,5,AC Milan,2
2,6,Atalanta BC,2
2,7,ACF Fiorentina,2
2,8,Torino FC,2
2,9,SS Lazio,2
2,10,Spezia Calcio,2
2,11,US Sassuolo Calcio,2
2,12,Bologna FC 1909,2
2,13,US Salernitana 1919,2
2,14,Empoli FC,2
2,15,Udinese Calcio,2
2,16,UC Sampdoria,2
2,17,Hellas Verona FC,2
2,18,US Cremonese,2
2,19,US Lecce,2
2,20,AC Monza,2
2,15,UC Sampdoria,2
2,17,US Cremonese,2
3,1,SSC Napoli,3
3,2,AC Milan,3
3,3,SS Lazio,3
3,4,Atalanta BC,3
3,5,Torino FC,3
3,6,AS Roma,3
3,7,FC Internazionale Milano,3
3,8,Juventus FC,3
3,9,ACF Fiorentina,3
3,10,US Salernitana 1919,3
3,11,Udinese Calcio,3
3,12,Spezia Calcio,3
3,13,US Sassuolo Calcio,3
3,14,Empoli FC,3
3,15,US Lecce,3
3,16,Bologna FC 1909,3
3,17,Hellas Verona FC,3
3,18,UC Sampdoria,3
3,19,US Cremonese,3
3,20,AC Monza,3
4,1,Atalanta BC,4
4,2,AS Roma,4
4,3,FC Internazionale Milano,4
4,4,SSC Napoli,4
4,5,Juventus FC,4
4,6,AC Milan,4
4,7,SS Lazio,4
4,8,Udinese Calcio,4
4,9,Torino FC,4
4,10,US Salernitana 1919,4
4,11,ACF Fiorentina,4
4,12,US Sassuolo Calcio,4
4,13,Spezia Calcio,4
4,14,Empoli FC,4
4,15,US Lecce,4
4,16,Bologna FC 1909,4
4,17,Hellas Verona FC,4
4,18,UC Sampdoria,4
4,19,US Cremonese,4
4,20,AC Monza,4
5,1,Atalanta BC,5
5,2,SSC Napoli,5
5,3,AC Milan,5
5,4,Udinese Calcio,5
5,5,Torino FC,5
5,6,AS Roma,5
5,7,Juventus FC,5
5,8,FC Internazionale Milano,5
5,9,SS Lazio,5
5,10,US Salernitana 1919,5
5,11,ACF Fiorentina,5
5,12,US Sassuolo Calcio,5
5,13,Hellas Verona FC,5
5,14,Spezia Calcio,5
5,15,Empoli FC,5
5,16,Bologna FC 1909,5
5,17,US Lecce,5
5,18,UC Sampdoria,5
5,19,US Cremonese,5
5,20,AC Monza,5
6,1,SSC Napoli,6
6,2,Atalanta BC,6
6,3,AC Milan,6
6,4,Udinese Calcio,6
6,5,AS Roma,6
6,6,FC Internazionale Milano,6
6,7,SS Lazio,6
6,8,Juventus FC,6
6,9,Torino FC,6
6,10,US Salernitana 1919,6
6,11,ACF Fiorentina,6
6,12,Bologna FC 1909,6
6,13,US Sassuolo Calcio,6
6,14,Hellas Verona FC,6
6,15,Spezia Calcio,6
6,16,Empoli FC,6
6,17,US Lecce,6
6,18,US Cremonese,6
6,19,UC Sampdoria,6
6,20,AC Monza,6
7,1,SSC Napoli,7
7,2,Atalanta BC,7
7,3,Udinese Calcio,7
7,4,SS Lazio,7
7,5,AC Milan,7
7,6,AS Roma,7
7,7,FC Internazionale Milano,7
7,8,Juventus FC,7
7,9,Torino FC,7
7,10,ACF Fiorentina,7
7,11,US Sassuolo Calcio,7
7,12,Spezia Calcio,7
7,13,US Salernitana 1919,7
7,14,Empoli FC,7
7,15,US Lecce,7
7,16,Bologna FC 1909,7
7,17,Hellas Verona FC,7
7,18,AC Monza,7
7,19,US Cremonese,7
7,20,UC Sampdoria,7
8,1,SSC Napoli,8
8,2,Atalanta BC,8
8,3,Udinese Calcio,8
8,4,SS Lazio,8
8,5,AC Milan,8
8,6,AS Roma,8
8,7,Juventus FC,8
8,8,US Sassuolo Calcio,8
8,9,FC Internazionale Milano,8
8,10,Torino FC,8
8,11,ACF Fiorentina,8
8,12,Spezia Calcio,8
8,13,US Lecce,8
8,14,US Salernitana 1919,8
8,15,Empoli FC,8
8,16,AC Monza,8
8,17,Bologna FC 1909,8
8,18,Hellas Verona FC,8
8,19,US Cremonese,8
8,20,UC Sampdoria,8
