id,utcDate,status,matchday,stage,group,lastUpdated,referees,area.id,area.name,area.code,area.flag,competition.id,competition.name,competition.code,competition.type,competition.emblem,season.id,season.startDate,season.endDate,season.currentMatchday,season.winner,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,homeTeam.crest,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,awayTeam.crest,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away,odds.msg
418909,2022-08-13T16:30:00Z,FINISHED,1,REGULAR_SEASON,,2023-05-31T08:20:44Z,"[{'id': 57837, 'name': 'Federico Dionisi', 'type': 'REFEREE', 'nationality': 'Italy'}]",2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,1505,2022-08-14,2023-06-04,38,,584,UC Sampdoria,Sampdoria,SAM,https://crests.football-data.org/584.svg,102,Atalanta BC,Atalanta,ATA,https://crests.football-data.org/102.png,AWAY_TEAM,REGULAR,0,2,0,1,Activate Odds-Package in User-Panel to retrieve odds.
418912,2022-08-15T18:45:00Z,FINISHED,1,REGULAR_SEASON,,2023-05-31T08:20:44Z,"[{'id': 11018, 'name': 'Antonio Rapuano', 'type': 'REFEREE', 'nationality': 'Italy'}]",2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,1505,2022-08-14,2023-06-04,38,,109,Juventus FC,Juventus,JUV,https://crests.football-data.org/109.png,471,US Sassuolo Calcio,Sassuolo,SAS,https://crests.football-data.org/471.png,HOME_TEAM,REGULAR,3,0,2,0,Activate Odds-Package in User-Panel to retrieve odds.
418913,2022-08-15T16:30:00Z,FINISHED,1,REGULAR_SEASON,,2023-05-31T08:20:44Z,"[{'id': 10985, 'name': 'Michael Fabbri', 'type': 'REFEREE', 'nationality': 'Italy'}]",2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,1505,2022-08-14,2023-06-04,38,,450,Hellas Verona FC,Verona,HVE,https://crests.football-data.org/450.png,113,SSC Napoli,Napoli,NAP,https://crests.football-data.org/113.png,AWAY_TEAM,REGULAR,2,5,1,2,Activate Odds-Package in User-Panel to retrieve odds.
418906,2022-08-14T18:45:00Z,FINISHED,1,REGULAR_SEASON,,2023-05-31T08:20:44Z,"[{'id': 11053, 'name': 'Daniele Chiffi', 'type': 'REFEREE', 'nationality': 'Italy'}]",2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,1505,2022-08-14,2023-06-04,38,,488,Spezia Calcio,Spezia Calcio,SPE,https://crests.football-data.org/488.svg,445,Empoli FC,Empoli,EMP,https://crests.football-data.org/445.png,HOME_TEAM,REGULAR,1,0,1,0,Activate Odds-Package in User-Panel to retrieve odds.
418904,2022-08-14T18:45:00Z,FINISHED,1,REGULAR_SEASON,,2023-05-31T08:20:44Z,"[{'id': 57826, 'name': 'Simone Sozza', 'type': 'REFEREE', 'nationality': 'Italy'}]",2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,1505,2022-08-14,2023-06-04,38,,455,US Salernitana 1919,Salernitana,SAL,https://crests.football-data.org/455.png,100,AS Roma,Roma,ROM,https://crests.football-data.org/100.png,AWAY_TEAM,REGULAR,0,1,0,1,Activate Odds-Package in User-Panel to retrieve odds.
418911,2022-08-13T16:30:00Z,FINISHED,1,REGULAR_SEASON,,2023-05-31T08:20:44Z,"[{'id': 11119, 'name': 'Livio Marinelli', 'type': 'REFEREE', 'nationality': 'Italy'}]",2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,1505,2022-08-14,2023-06-04,38,,98,AC Milan,Milan,MIL,https://crests.football-data.org/98.png,115,Udinese Calcio,Udinese,UDI,https://crests.football-data.org/115.png,HOME_TEAM,REGULAR,4,2,2,2,Activate Odds-Package in User-Panel to retrieve odds.
418907,2022-08-14T16:30:00Z,FINISHED,1,REGULAR_SEASON,,2023-05-31T08:20:44Z,"[{'id': 11112, 'name': 'Juan Sacchi', 'type': 'REFEREE', 'nationality': 'Italy'}]",2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,1505,2022-08-14,2023-06-04,38,,99,ACF Fiorentina,Fiorentina,FIO,https://crests.football-data.org/99.png,457,US Cremonese,Cremonese,CRE,https://crests.football-data.org/457.png,HOME_TEAM,REGULAR,3,2,2,1,Activate Odds-Package in User-Panel to retrieve odds.
418910,2022-08-13T18:45:00Z,FINISHED,1,REGULAR_SEASON,,2023-05-31T08:20:44Z,"[{'id': 11043, 'name': 'Maurizio Mariani', 'type': 'REFEREE', 'nationality': 'Italy'}]",2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,1505,2022-08-14,2023-06-04,38,,5911,AC Monza,Monza,MON,https://crests.football-data.org/5911.png,586,Torino FC,Torino,TOR,https://crests.football-data.org/586.png,AWAY_TEAM,REGULAR,1,2,0,1,Activate Odds-Package in User-Panel to retrieve odds.
418905,2022-08-13T18:45:00Z,FINISHED,1,REGULAR_SEASON,,2023-05-31T08:20:44Z,"[{'id': 57794, 'name': 'Alessandro Prontera', 'type': 'REFEREE', 'nationality': 'Italy'}]",2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,1505,2022-08-14,2023-06-04,38,,5890,US Lecce,Lecce,USL,https://crests.football-data.org/5890.png,108,FC Internazionale Milano,Inter,INT,https://crests.football-data.org/108.png,AWAY_TEAM,REGULAR,1,2,0,1,Activate Odds-Package in User-Panel to retrieve odds.
418908,2022-08-14T16:30:00Z,FINISHED,1,REGULAR_SEASON,,2023-05-31T08:20:44Z,"[{'id': 57836, 'name': 'Luca Massimi', 'type': 'REFEREE', 'nationality': 'Italy'}]",2114,Italy,ITA,https://crests.football-data.org/784.svg,2019,Serie A,SA,LEAGUE,https://crests.football-data.org/SA.png,1505,2022-08-14,2023-06-04,38,,110,SS Lazio,Lazio,LAZ,https://crests.football-data.org/110.png,103,Bologna FC 1909,Bologna,BOL,https://crests.football-data.org/103.png,HOME_TEAM,REGULAR,2,1,0,1,Activate Odds-Package in User-Panel to retrieve odds.
